object_id,mjd,passband,flux,flux_err,detected_bool
30,56423.665618,0,272.897778,3.770222,1
30,56423.814222,0,448.33227,4.542222,1
30,56423.895484,0,311.60183,3.156955,1
30,56424.718744,0,370.851466,4.098802,1
30,56424.810501,0,277.459756,3.577698,1
30,56424.888096,0,286.813771,3.698313,1
30,56450.6106,0,666.1929,6.135863,1
30,56450.729981,0,334.19504,3.385855,1
30,56450.83466,0,285.759054,3.158326,1
30,56451.614623,0,311.028367,4.297016,1
30,56451.697173,0,288.40315,3.453179,1
30,56451.796018,0,318.566424,3.520926,1
30,56452.552356,0,287.342589,3.175828,1
30,56452.557848,0,287.342589,2.911175,1
30,56452.735363,0,855.066713,7.875455,1
30,56452.822597,0,462.168136,4.682398,1
30,56452.891835,0,331.74165,3.97209,1
30,56453.619807,0,789.223485,8.72282,1
30,56453.705224,0,392.644935,6.509508,1
30,56453.775466,0,313.617292,4.332783,1
30,56453.847756,0,276.949127,13.519217,1
30,56509.48527,0,797.994687,8.819763,1
30,56509.55089,0,437.723638,5.241059,1
30,56509.622614,0,323.295753,3.27543,1
30,56509.687333,0,267.916832,3.454647,1
30,56510.483964,0,310.742031,4.29306,1
30,56510.548222,0,284.184247,3.92615,1
30,56510.614123,0,270.644995,3.240552,1
30,56510.679595,0,245.244909,3.388184,1
30,57114.742777,0,282.357937,22.885392,1
30,57114.764073,0,312.176351,21.564378,1
30,57114.777177,0,307.043565,22.058211,1
30,57114.803539,0,304.228573,18.213317,1
30,57114.816421,0,267.423766,17.241447,1
30,57114.82932,0,295.9375,20.17007,1
30,57114.842289,0,417.253511,19.599539,1
30,57114.876254,0,780.548691,7.908031,1
30,57114.905982,0,832.530207,20.703294,1
30,57115.725831,0,558.213069,29.819728,1
30,57115.732142,0,673.596776,25.436628,1
30,57115.742623,0,776.247117,32.887701,1
30,57115.753144,0,824.897524,28.111072,1
30,57115.766014,0,809.095899,29.808195,1
30,57115.779794,0,759.276573,25.874824,1
30,57115.79276,0,724.43596,26.689207,1
30,57115.80583,0,604.226822,22.817052,1
30,57115.81882,0,595.387894,16.999548,1
30,57115.831989,0,513.80698,18.929349,1
30,57115.844964,0,443.81298,17.168208,1
30,57115.857822,0,433.311285,15.963778,1
30,57115.870651,0,408.88389,16.193627,1
30,57115.884011,0,364.082664,16.431294,1
30,57115.911743,0,333.579997,14.440211,1
30,57116.748409,0,386.189089,29.522544,1
30,57116.761301,0,376.357002,26.344458,1
30,57116.774328,0,357.108346,24.010353,1
30,57116.787214,0,339.468905,22.199032,1
30,57116.81336,0,302.55198,16.998301,1
30,57116.826288,0,300.60763,20.765239,1
30,57116.83921,0,303.948497,20.156178,1
30,57116.852976,0,289.467626,17.862839,1
30,57116.878731,0,303.948497,18.476496,1
30,57116.891948,0,252.115763,15.325675,1
30,57116.905315,0,292.684686,16.174353,1
30,56423.664117,1,902.817565,10.809834,1
30,56423.812743,1,1437.474006,15.88755,1
30,56424.717236,1,1217.867385,12.33867,1
30,56424.807259,1,955.872572,9.684303,1
30,56424.886595,1,959.400632,10.603688,1
30,56450.609098,1,1910.732981,19.358351,1
